Ligand,Binding Affinity,rmsd/ub, rmsd/lb
8opq_L_11_uff_E=3419.96,-9.8,0,0
8opq_L_11_uff_E=3419.96,-9.7,39.891,36.49
8opq_L_11_uff_E=3419.96,-9.1,39.171,35.697
8opq_L_11_uff_E=3419.96,-8.8,43.039,39.462
8opq_L_11_uff_E=3419.96,-8.7,40.163,36.715
8opq_L_11_uff_E=3419.96,-8.7,30.244,26.815
8opq_L_11_uff_E=3419.96,-8.7,36.14,33.29
8opq_L_11_uff_E=3419.96,-8.7,13.864,10.778
8opq_L_11_uff_E=3419.96,-8.6,29.045,25.592
8opq_L_11_uff_E=3419.96,-9.8,0,0
8opq_L_11_uff_E=3419.96,-9.1,7.225,2.711
8opq_L_11_uff_E=3419.96,-8.9,7.502,2.772
8opq_L_11_uff_E=3419.96,-8.8,14.017,10.19
8opq_L_11_uff_E=3419.96,-8.7,7.466,2.635
8opq_L_11_uff_E=3419.96,-8.7,21.671,16.674
8opq_L_11_uff_E=3419.96,-8.7,30.385,27.061
8opq_L_11_uff_E=3419.96,-8.7,13.784,10.741
8opq_L_11_uff_E=3419.96,-8.7,14.188,11.204
8opq_L_11_uff_E=3419.96,-9.9,0,0
8opq_L_11_uff_E=3419.96,-9.8,39.907,36.524
8opq_L_11_uff_E=3419.96,-9.1,7.216,2.661
8opq_L_11_uff_E=3419.96,-9,39.215,35.747
8opq_L_11_uff_E=3419.96,-8.8,43.026,39.414
8opq_L_11_uff_E=3419.96,-8.8,7.537,2.571
8opq_L_11_uff_E=3419.96,-8.8,14.003,10.243
8opq_L_11_uff_E=3419.96,-8.7,30.255,26.76
8opq_L_11_uff_E=3419.96,-8.6,21.053,17.102
8opq_L_11_uff_E=3419.96,-8.7,0,0
8opq_L_11_uff_E=3419.96,-8.3,37.59,33.312
8opq_L_11_uff_E=3419.96,-8.1,35.639,31.281
8opq_L_11_uff_E=3419.96,-8.1,20.87,16.433
8opq_L_11_uff_E=3419.96,-8,20.315,16.331
8opq_L_11_uff_E=3419.96,-8,15.149,10.455
8opq_L_11_uff_E=3419.96,-7.9,16.425,11.826
8opq_L_11_uff_E=3419.96,-7.9,34.492,29.988
8opq_L_11_uff_E=3419.96,-7.8,47.775,43.703
8opq_L_13_uff_E=169.63,-7,0,0
8opq_L_13_uff_E=169.63,-6.9,39.355,35.134
8opq_L_13_uff_E=169.63,-6.7,10.245,6.432
8opq_L_13_uff_E=169.63,-6.6,38.054,34.198
8opq_L_13_uff_E=169.63,-6.5,6.582,3.884
8opq_L_13_uff_E=169.63,-6.5,39.426,35.659
8opq_L_13_uff_E=169.63,-6.5,10.427,6.338
8opq_L_13_uff_E=169.63,-6.5,39.969,36.744
8opq_L_13_uff_E=169.63,-6.4,2.58,2.375
8opq_L_14_uff_E=340.31,-7.9,0,0
8opq_L_14_uff_E=340.31,-7.9,39.176,34.263
8opq_L_14_uff_E=340.31,-7.3,39.413,34.947
8opq_L_14_uff_E=340.31,-7.2,6.834,1.763
8opq_L_14_uff_E=340.31,-7.2,6.115,1.758
8opq_L_14_uff_E=340.31,-7.1,41.486,36.824
8opq_L_14_uff_E=340.31,-7.1,7.594,3.057
8opq_L_14_uff_E=340.31,-7,7.331,2.907
8opq_L_14_uff_E=340.31,-7,49.805,44.979
8opq_L_15_uff_E=1042.97,-7.7,0,0
8opq_L_15_uff_E=1042.97,-7.7,11.214,4.049
8opq_L_15_uff_E=1042.97,-7.6,42.618,38.771
8opq_L_15_uff_E=1042.97,-7.5,40.881,37.329
8opq_L_15_uff_E=1042.97,-7.4,41.772,38.049
8opq_L_15_uff_E=1042.97,-7.3,11.44,4.495
8opq_L_15_uff_E=1042.97,-7.2,42.765,39.174
8opq_L_15_uff_E=1042.97,-7.1,45.65,41.946
8opq_L_15_uff_E=1042.97,-7.1,51.126,47.52
8opq_L_16_uff_E=485.12,-9.5,0,0
8opq_L_16_uff_E=485.12,-9.5,43.625,39.908
8opq_L_16_uff_E=485.12,-9.2,10.544,4.292
8opq_L_16_uff_E=485.12,-9.1,2.584,2.062
8opq_L_16_uff_E=485.12,-9.1,42.927,40.003
8opq_L_16_uff_E=485.12,-9.1,41.841,37.615
8opq_L_16_uff_E=485.12,-9,8.244,3.094
8opq_L_16_uff_E=485.12,-9,42.9,39.698
8opq_L_16_uff_E=485.12,-8.9,45.361,41.163
8opq_L_17_uff_E=557.09,-8.9,0,0
8opq_L_17_uff_E=557.09,-8.6,3.455,2.79
8opq_L_17_uff_E=557.09,-8.5,2.151,0.891
8opq_L_17_uff_E=557.09,-8.4,15.119,11.87
8opq_L_17_uff_E=557.09,-8.4,34.641,29.204
8opq_L_17_uff_E=557.09,-8.3,13.342,10.458
8opq_L_17_uff_E=557.09,-8.3,11.23,8.112
8opq_L_17_uff_E=557.09,-8.2,3.657,2.657
8opq_L_17_uff_E=557.09,-8.1,9.903,3.321
8opq_L_18_uff_E=3006.03,-8.1,0,0
8opq_L_18_uff_E=3006.03,-7.9,34.88,32.902
